epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,349.926,1.10546,1.30755,1.44384,0.69588,0.41587,0.593,0.38943,1.403,1.89344,1.71335,0.000410357,0.000410357,0.000410357
43,358.508,1.03789,1.21748,1.36827,0.74734,0.46332,0.5755,0.38798,1.27917,1.72862,1.60387,0.000400048,0.000400048,0.000400048
44,366.785,0.9885,1.1241,1.36241,0.76151,0.46049,0.58404,0.39758,1.26903,1.64104,1.57456,0.00038974,0.00038974,0.00038974
45,375.266,1.00706,1.14476,1.37393,0.69018,0.45286,0.50636,0.35425,1.31019,1.59674,1.60068,0.000379431,0.000379431,0.000379431
46,383.993,1.09356,1.22186,1.44669,0.69616,0.45723,0.5668,0.36747,1.32756,1.55444,1.57677,0.000369123,0.000369123,0.000369123
47,392.394,1.00553,1.18617,1.33755,0.72242,0.48021,0.59453,0.39746,1.2847,1.5241,1.54426,0.000358815,0.000358815,0.000358815
48,401.355,0.99041,1.09367,1.34522,0.73993,0.47827,0.4775,0.34928,1.28614,1.57488,1.57444,0.000348506,0.000348506,0.000348506
49,409.654,1.03798,1.29456,1.34183,0.82695,0.45943,0.47739,0.34478,1.26884,1.61768,1.58908,0.000338198,0.000338198,0.000338198
50,422.708,0.95451,1.06253,1.32683,0.70915,0.50811,0.47374,0.32992,1.30005,1.68875,1.64035,0.00032789,0.00032789,0.00032789
51,431.147,1.01027,1.18627,1.36457,0.69056,0.50472,0.46328,0.32333,1.34337,1.74427,1.68108,0.000317581,0.000317581,0.000317581
52,439.607,0.98126,1.11953,1.31788,0.70903,0.47293,0.52355,0.345,1.40678,1.7646,1.71031,0.000307273,0.000307273,0.000307273
53,448.057,0.95914,1.05846,1.2828,0.74415,0.45844,0.52621,0.35633,1.48001,1.73502,1.7501,0.000296964,0.000296964,0.000296964
54,456.552,0.94128,1.09661,1.31671,0.77612,0.43667,0.60911,0.38471,1.46012,1.64902,1.72009,0.000286656,0.000286656,0.000286656
55,464.856,1.03468,1.20073,1.38489,0.77767,0.46545,0.6139,0.37744,1.41963,1.59593,1.72094,0.000276348,0.000276348,0.000276348
56,473.283,0.91761,0.99945,1.26334,0.70387,0.48904,0.58822,0.35049,1.41827,1.63837,1.74804,0.000266039,0.000266039,0.000266039
57,482.066,0.95835,1.14396,1.35696,0.68852,0.4717,0.52173,0.34274,1.4255,1.69041,1.79086,0.000255731,0.000255731,0.000255731
58,491.502,0.95209,1.08849,1.32414,0.67452,0.46746,0.59314,0.3599,1.40186,1.64348,1.74404,0.000245423,0.000245423,0.000245423
59,501.073,0.96494,1.05354,1.34298,0.73681,0.46746,0.61019,0.37449,1.42892,1.69703,1.72314,0.000235114,0.000235114,0.000235114
60,509.298,0.88796,0.98348,1.35238,0.75077,0.45714,0.60009,0.38557,1.41099,1.67791,1.68376,0.000224806,0.000224806,0.000224806
61,517.286,0.87391,0.90411,1.27429,0.74621,0.45012,0.60399,0.38689,1.42086,1.66489,1.71108,0.000214497,0.000214497,0.000214497
62,525.733,0.85566,0.97822,1.2685,0.74691,0.45281,0.60206,0.38397,1.40735,1.6507,1.72693,0.000204189,0.000204189,0.000204189
63,534.679,0.90748,0.98658,1.28918,0.76233,0.45455,0.60566,0.3742,1.38108,1.6033,1.72413,0.000193881,0.000193881,0.000193881
